,Producto,Marca,Cantidad,Calorias (kcal),Grasa (g),Carbohidrato (g),Proteina (g)
413,Leche Entera en Polvo,,por 2 1/2 cucharada sopera (27g) ,131,7.0,10.0,7.0
414,"Maíz Amarillo Dulce (Granos en la Mazorca, sin Sal, Congelados, Escurridos, en Conserva)",,"por 1 mazorca, producto ",59,0.47,14.07,1.96
415,Leche en Polvo Descremada,,por 1 sobre (5g) ,18,0.0,2.6,1.8
416,Leche en Polvo Descremada,,por 2 cucharadas soperas (18g) ,65,0.2,9.5,6.3
417,Choclo Amarillo Entero,Jumbo,por 1 porción (130g) ,110,2.2,18.0,4.5
418,Yogur Entero Batido,Ilolay,por 1 porción (120g) ,118,3.4,17.0,4.9
419,Yogurt Batido Entero,Milkaut,por 1 vaso (200g) ,184,5.4,26.0,8.0
420,Choclo Amarillo Entero,Great Value,por 1 taza de té (103g) ,54,1.0,8.2,3.1
421,Yogur Entero Batido,Dia,por 1 porción (125g) ,124,3.5,18.0,5.1
422,Pan de Trigo Entero,El Pan del Peregrino,por 1 rodaja (25g) ,44,0.0,9.0,1.8
423,Yogur Entero de Arándano,Tregar,por 1 pote (160g) ,159,4.0,25.0,5.8
424,Huevo Entero en Polvo,Ovoprot,por 1  cucharada sopera  (13g) ,72,5.0,0.5,6.2
425,Yogur Entero con Cereales,Ilolay,por 1 pote (165g) ,202,4.3,34.0,6.7
426,Yogurt Entero Firme Frutilla,Ilolay,por 1 pote (120g) ,113,3.5,15.0,5.4
427,Yogur Descremado Batido,Dia,por 1 porción (125g) ,53,0.0,7.5,5.3
428,Queso Blanco Descremado ,Jumbo,por 1 porción (50g) ,29,1.8,0.0,3.3
429,Yogur Descremado Arándano,Tregar,por 1 pote (160g) ,82,0.0,14.0,6.5
430,Queso Blanco Descremado,Festa,por 1 porción (30g) ,55,2.3,0.9,7.7
431,Yogur Descremado Batido,Ilolay,por 1 unidad (120g) ,49,0.0,7.2,5.0
432,Yogur Descremado Firme,Carrefour,por 1 pote (125g) ,54,0.0,7.5,5.6
433,Yogur Descremado Frutilla,Dia,por 1 taza (200g) ,85,0.6,12.0,8.0
434,Yogur Descremado Frutilla ,Dahi,por 1 frasquito (200g) ,192,0.0,40.0,7.8
435,Yogurt Firme Descremado,Manfrey,por 1 porción (140g) ,56,0.3,7.0,5.3
436,Yogur Parcialmente Descremado,Ramolac,por 1 pote (125g) ,102,2.5,16.3,3.5
437,Medialuna de Manteca,McDonald's,por 1 porción (37g) ,121,5.2,17.0,2.0
438,Queso Mozzarella de Leche Entera (con Toda Su Crema),,por 1 tajada ,85,6.34,0.62,6.29
439,Leche (2% Baja en Grasa con Adición de Vitamina a y Proteínas),,por 1 taza ,138,4.87,13.51,9.72
440,Queso Ricotta (Leche Entera),,por 100 g ,174,12.98,3.04,11.26
441,Leche con Chocolate (Completa),,por 1 taza ,208,8.48,25.85,7.92
442,Pan de Maíz (con Bajo Contenido de Grasa (2%) de la Leche),,por 100 g ,266,7.1,43.5,6.7
443,Sándwich de Galletas de Chocolate (con Crema de Relleno),,por 1 galleta ,47,1.91,7.16,0.53
444,Panecillos de Salvado de Avena,,por 1 mediano ,305,8.36,54.58,7.91
445,Granos Secos de Semillas de Girasol,,por 100 g ,570,49.57,18.76,22.78
446,Pan de Trigo (Incluye Bayas de Trigo),,por 1 tajada ,65,1.02,11.8,2.28
447,Galletas (con Relleno de Mantequilla de Maní),,"por 1 galleta, bocadillo ",35,1.72,4.09,0.8
448,Sopa de Huevo Estrellado,,por 1 taza ,73,3.83,1.1,7.52
449,Tortilla de Huevos o Huevos Revueltos con Queso,,por 1 grande ,140,10.37,2.23,9.15
450,"Ensalada de Lechuga con Huevo, Queso, Tomate y/o Zanahoria",,por 1 ensalada al Jardín ,123,7.41,7.41,7.86
451,Perico,,por 1 porción ,171,11.82,3.65,12.11
452,Huevos Benedictinos,,por 1 grande ,428,33.48,12.9,18.54
453,Tortilla de Huevos o Huevos Revueltos con Verduras,,por 1 grande ,106,7.34,2.38,7.22
454,Huevo Escalfado,,por 1 grandes ,73,4.95,0.38,6.26
455,Ensalada de Huevo,,por 1 taza ,706,67.18,4.28,20.42
456,Rosquillas de Huevo,,por 1 mini ,72,0.55,13.78,2.76
457,Rollo de Huevo sin Carne,,por 1 rollo de huevo ,100,5.8,9.73,2.6
458,Ensalada de Papas con Huevo,Pehuamar,por 1 taza ,262,13.61,30.8,5.35
459,"Papas a la Francesa (Prefritas, Congeladas)",McCain,"por 1 porción de 10 tiras (2,5 cm ",112,5.96,13.14,1.32
460,Tapa de Asado,McDonald's,por 100 g ,213,15.02,0.0,19.0
461,Papas a la Francesa Apanadas o Soteadas,,por 1 porción de 10 papas rizadas ,171,10.39,16.5,3.09
462,Estofado de Ternera con Papas y Verduras (con Zanahorias y Brócoli en Salsa de Tomate),,por 1 taza ,222,9.73,19.53,13.86
463,Estofado de Carne con Papas y Verduras en Salsa de Tomate,,por 1 taza ,207,5.75,21.9,16.63
464,"Pollo o Pavo y Verduras en Salsa de Soja (Incluyendo Zanahorias y Brócoli, sin Papas)",,por 1 taza ,180,8.59,9.28,15.86
465,Papas Fritas,,por 1 taza de té (25g) ,127,6.7,15.0,1.6
466,Papas Caritas,,por 100g ,175,6.2,26.0,2.4
467,Papas Fritas (Pequeñas),,por 1 porción (73g) ,206,11.0,25.0,2.9
468,"Margarina (de Aceite Vegetal, al 20% de Grasa)",,por 1 cucharada ,26,2.92,0.06,0.0
469,Aderezo de Ensalada Mil Islas (Libre de Grasa),,por 1 cucharada ,21,0.23,4.68,0.09
470,Aderezo de Ensalada Italiana (Libre de Grasa),,por 1 cucharada ,7,0.12,1.22,0.14
471,"Paté de Hígado de Ganso (Ahumado, Enlatado)",,por 1 cucharada ,60,5.7,0.61,1.48
472,"Cecina de Pecho de Res (Salados, Cocidos)",,por 100 g ,251,18.98,0.47,18.17
473,"Costillas de Res (Bordes Cortados con 0,3 Cm de Grasa)",,por 100 g ,254,19.06,0.0,19.33
474,"Lomo de Ternera Superior (que Se Corta a 0,3 Cm de Grasa)",,por 100 g ,228,15.49,0.0,20.61
475,"Lomito de Res (Cortado a 0,3 Cm de Grasa)",,por 100 g ,247,18.16,0.0,19.61
476,"Carne de Res Molida (Hamburguesas, 23% de Grasa Aprox., Empanadas Congeladas)",,por 100 g ,282,23.19,0.0,17.11
477,Semillas de Calabaza Secas y Granos de Calabaza,,por 100 g ,541,45.85,17.81,24.54
478,Pan de Maíz (Bollo de Maíz) (Mezcla Seca),,por 100 g ,418,12.2,69.5,7.0
479,Barras de Granola Blandas Recubiertas con Chispas de Chocolate,,por 1 barra ,163,8.72,22.33,2.03
480,Palomitas de Maíz,,por 1 taza ,31,0.36,6.22,1.04
481,Palomitas de Maíz (Hechas en Microondas),,por 1 taza ,60,3.63,6.33,0.82
482,Palomitas de Maíz con Sabor a Queso,,por 1 taza ,58,3.65,5.68,1.02
483,"Mezcla de Frutas Secas con Trocitos de Chocolate, Nueces y Semillas Saladas",,por 100 g ,484,31.9,44.9,14.2
484,Pastel de Chocolate (con Escarcha de Chocolate),,por 1 trozo ,235,10.5,34.94,2.62
485,Galletas de Mantequilla de Maní,,por 1 galleta ,72,3.54,8.84,1.44
486,Galletas (con Relleno de Mantequilla de Maní),,"por 1 galleta, bocadillo ",35,1.72,4.09,0.8
487,Pan de Trigo (Incluye Bayas de Trigo),,por 1 tajada ,65,1.02,11.8,2.28
488,Seitan,Vegantime,por 1 porción (40g) ,53,0.0,3.4,9.6
489,Salchicha o Hot Dog,Granja Iris,por 1 salchicha ,175,14.89,2.54,7.22
490,Salchichas Light ,Vegetalex,por 1 1/4 unidades (40g) ,55,2.0,3.9,5.3
491,Salchichas de Soja,La Anónima,por 1 1/2 unidades (50g) ,40,0.0,3.9,6.2
492,Salchicha o Perro Caliente con Salsa de Tomate y / o Mostaza,Friolim,por 1 salchicha en pan ,284,16.59,22.85,10.24
493,Salchichón Tipo Primavera,Patyviena,por 3 fetas (40g) ,68,4.0,4.0,4.0
494,Salchichas Polacas,,por 1 salchicha ,704,61.63,4.86,30.1
495,Salchicha Tipo Salzburgo,,por 1 porción (50g) ,103,9.8,5.9,5.8
496,Salchicha Alemana,,por 1 salchicha (63g) ,149,12.0,1.9,8.9
497,Chorizos,,"por 1 tira (8,5 cm de largo) ",200,16.84,0.82,10.6
498,Macarrones o Fideos con Queso (Mezclar en Caja con Salsa de Queso),Carrefour,por 1 taza ,386,11.59,54.29,15.28
499,Quiche de Queso sin Carne,,por 1 trozo ,566,43.99,26.73,16.67
500,"Sánduche de Pollo con Queso, Lechuga y Tomate en Pan de Pita",,por 1 sándwich de pita ,310,12.21,28.13,21.73
501,Ravioles 4 Quesos,,por 100g ,268,5.0,46.0,9.2
502,Sánduche de Queso a la Plancha,,por 1 sánduche ,291,15.77,27.85,9.16
503,Hamburguesa de Pollo Apanado con Queso,,por 1 empanada ,206,12.34,12.03,11.61
504,Queso de Soja Extra Firme,,por 1 tajada ,46,1.6,1.68,6.22
505,Hamburguesa con Queso ,,por 1 hamburguesa con Queso ,317,14.56,27.86,17.25
506,Pizza de Queso (36 Cm),,por 1 tajada ,272,9.8,33.56,12.27
507,"Hamburguesa de 1/4 de Libra, con Queso",,por 1 hamburguesa con queso ,552,29.9,35.46,33.17
508,Chimichanga con Carne y Queso,,por 1 chimichanga ,443,23.44,39.33,20.06
509,Enchilada de Queso y Carne,,por 1 enchilada ,323,17.64,30.47,11.92
510,Sánduche de Carne Asada con Queso,,por 1 sánduche ,473,18.0,45.37,32.23
511,Sánduche de Carne,,por 1 sánduche ,459,14.08,51.96,30.33
512,Pizza de Carne y Verduras (36 Cm),,por 1 tajada ,332,14.82,34.52,14.99
513,Chili con Carne con Frijoles Plato Principal (Enlatados),,por 1 taza ,298,12.94,28.12,17.44
514,Carne de Pollo (Asada),,por 100 g ,111,2.7,0.0,20.33
515,"Carne de Pollo (Tostado, Asado, Cocido)",,"por 1 taza, picada o en cubitos ",234,9.28,0.0,35.01
516,Carne de Pollo Magra (Asada),,por 100 g ,109,1.63,0.0,22.2
517,"Carne de Pollo Magra (a la Parrilla, Asada, Cocida)",,por 100 g ,153,4.07,0.0,27.13
518,Pollo Teriyaki,Green Eat,por 100 g ,149,2.85,6.04,21.14
519,Nuggets de Pollo Bajos en Grasa,,por 1 trozo ,35,1.14,2.48,3.47
520,Carne de Pollo (Asada),,por 100 g ,111,2.7,0.0,20.33
521,Alitas de Pollo al Horno o Fritas con la Piel (Comiendo la Piel),,por 1 pequeña ,137,9.16,4.64,8.45
522,Roll de Pollo,,por 1 porción ,609,31.0,37.0,37.0
523,Pollo al Maní,,por 1 taza ,300,7.41,37.33,21.46
524,Hamburguesa de Pollo,,por 1 hamburguesa ,142,7.35,0.0,17.84
525,Pernil de Pollo,,por 1 pequeño ,135,8.45,0.0,13.67
526,Pollo Frito (Comiendo la Piel),,por 1 tajada delgada ,18,1.07,0.0,2.0
527,Pechuga de Pollo Empanada,,por 100 g ,297,18.82,16.32,15.59
528,Salchichón,Paladini,por 1 porción ,127,10.5,0.59,6.94
529,Flamenquín,,por 1 porción ,424,15.15,37.47,31.84
530,Presa Ibérica,,por 100 g ,216,13.95,0.0,21.11
531,Chorizos,,"por 1 tira (8,5 cm de largo) ",200,16.84,0.82,10.6
532,Paleta de Cerdo Cocida,,por 1 feta (33g) ,32,1.2,0.0,5.0
533,Chicharrón Prensado,,por 100 g ,400,36.98,0.0,15.61
534,Pincho Moruno,,por 1 pincho ,293,20.7,1.25,24.14
535,Rebanadas de Jamón,,por 1 tajada ,34,1.76,0.48,3.83
536,Oreja de Cerdo,,por 1 oreja ,184,11.99,0.22,17.7
537,Salchicha de Carne de Cerdo Fresca,,por 1 porción de 2 tiras ,170,14.86,0.0,8.45
538,Melón Galia,,por 100 g ,23,0.2,5.58,0.62
539,Melones Cantaloupe,,"por 1 taza, bolas ",60,0.34,14.44,1.49
540,Maracuyá,,por 1 fruta ,17,0.13,4.21,0.4
541,Manzana de Agua,,por 100 g ,25,0.3,5.7,0.6
542,Piña,,"por 1 taza, cubitos ",74,0.19,19.58,0.84
543,Guindas Rojas Ácidas,,por 1 taza ,52,0.31,12.55,1.03
544,Moras,,por 1 taza ,62,0.71,13.84,2.0
545,Yaca,,por 100 g ,94,0.3,24.01,1.47
546,Peras Asiáticas,,"por 1 fruta 5,5 cm de alto x 6,5 cm de diámetro ",51,0.28,12.99,0.61
547,Tamarindo,,por 1 fruta ,5,0.01,1.25,0.06
548,Alcachofas Cocidas (Frescas),,por 1 globo mediano ,84,2.86,13.59,4.21
549,"Guisantes (Dreanados, Enlatados)",,por 100 g ,69,0.35,12.58,4.42
550,Chirivías,,por 100 g ,75,0.3,17.99,1.2
551,Okra,,por 1 taza ,31,0.1,7.03,2.0
552,Bellotas de Calabaza Invierno,,"por 1 taza, cubitos ",56,0.14,14.59,1.12
553,Puré de Verduras,,por 1 taza ,199,7.09,31.0,5.02
554,Tomates Rojos (Enlatados),,por 1 taza ,41,0.31,9.38,1.92
555,Snowpeas (Vaina de Guisante),,por 1 taza ,26,0.13,4.76,1.76
556,Papa Dulce,,por 100 g ,86,0.05,20.12,1.57
557,Arvejas Verdes Cocidas,,"por 1 taza, productos frescos, congelados o enlatados ",167,4.04,25.01,8.55
558,"Yogur de Frutas (Bajo en Grasa, Proteína 11G por 8 Oz)",,por 1 envase (225 g) ,238,3.2,42.22,11.03
559,Frutos Tostados en Seco (con Maní Salado),,por 100 g ,594,51.45,25.35,17.3
560,Champiñones Blancos (Fritos),,"por 1 taza, con rodajas ",28,0.36,4.36,3.87
561,Fideos Secos de Huevo,,por 1 taza ,146,1.69,27.08,5.38
562,Frutos Secos de Pino,,por 100 g ,673,68.37,13.08,13.69
563,Semillas Secas de Sésamo Integrales,,por 1 cucharada ,52,4.47,2.11,1.6
564,Pistachos Tostados en Seco (Salados),,por 100 g ,568,45.97,26.78,21.35
565,Salami de Cerdo (Seco o Duro),,por 1 tajada ,41,3.37,0.16,2.26
566,"Ensalada de Frutas Tropicales (Papaya Banano Piña y Guayaba, Sólidos y Líquidos, Almíbar en Conserva, Enlatados)",,por 1 taza ,221,0.26,57.47,1.05
567,Pastel Hecho con Arroz Glutinoso y Fríjoles Secos,,por 1 trozo ,30,0.05,6.02,1.25
568,Pan de Lino,La Salteña,por 100 g ,327,8.23,51.72,11.15
569,Pan de Centeno,Lucchetti,por 1 tajada normal ,67,0.86,12.56,2.21
570,Bollo de Leche,,por 1 unidad ,266,10.15,35.78,7.5
571,Migas,,por 1 porción ,1008,64.35,59.63,45.54
572,Pan de Pita Tostado,,por 1 pequeño ,79,0.34,15.91,2.6
573,Tostadas de Pan Integral,,por 1 tajada normal ,68,1.06,12.32,2.39
574,Pan de Queso,,por 1 tajada ,71,1.24,12.52,2.21
575,Pan de Pueblo,,por 1 tajada normal ,66,0.84,12.55,2.22
576,Pan Lacteado,,por 1 porción (50g) ,121,1.3,22.0,5.2
577,Tortas Fritas,,por 3 cucharadas soperas (27g) ,92,1.2,18.0,2.5
578,Pan Integral,,por 1 tajada ,69,1.18,12.91,2.72
579,Pan Italiano,,"por 1 tajada, tamaño medio ",54,0.7,10.0,1.76
580,Pan Integral de Centeno,,"por 1 tajada, tamaño medio ",65,0.81,12.35,2.26
581,Pan de Pita Blanca,,por 1 grande ,165,0.72,33.42,5.46
582,Pan de Salvado,,por 1 rebanada ,71,1.32,11.94,3.12
583,Pan de Centeno Tostado,,"por 1 tajada, tamaño medio ",68,0.86,12.74,2.26
584,Palitos de Pan,,"por 1 barra (19,5 cm x 1,5 cm) ",41,0.95,6.84,1.2
585,Pan de Pasas,,por 1 tajada ,71,1.14,13.6,2.05
586,Pan Francés con Mantequilla,,por 2 tajadas ,356,18.76,36.04,10.34
587,Pan Integral Tostado,,por 1 tajada ,128,2.48,23.69,3.86
588,Not Chicken Nuggets,Not Co,por 9 unidades  (130g) ,306,14.0,30.0,15.0
589,Nuggets Crocantes (130g),Granja del Sol,por 1 porción  (130g) ,360,22.0,21.0,19.0
590,Nuggets de Pollo,Paladini,por 7 nuggets (130g) ,263,11.0,22.0,18.0
591,Nuggets de Brócoli ,Frizata,por 3 unidades (85g) ,191,7.0,26.0,6.0
592,Nuggets de Pollo,Frizata,por 5 unidades (130g) ,239,11.0,14.0,21.0
593,Nuggets de Pollo Crocantes,Sadia,por 6 unidades (130g) ,313,17.0,23.0,16.0
594,Nuggets de Pollo con Queso,Sadia,por 10 unidades (130g) ,304,16.0,23.0,17.0
595,Nuggets de Poroto Negro a la Mostaza,Molé,por 1/4 paquete (50g) ,144,1.1,25.0,8.3
596,Nuggets de Pollo con Jamon,Sadia,por 6 unidades (130g) ,280,16.0,16.0,18.0
597,Vegan Nuggets de Garbanzos y Quinoa,Green Kitchen,por 3 porciones del paquete (100g) ,265,13.0,25.0,12.0
598,Moras Congeladas,,por 1 taza ,97,0.65,23.66,1.78
599,"Maíz Dulce (Granos de Mazorca, Congelados)",,por 1/2 taza ,72,0.63,17.06,2.48
600,Tortillas de Papa,,"por 1 pequeña, 7 cm de diámetro 1,5 cm de espesor ",59,3.24,6.14,1.33
601,"Barras Pasra Desayunar (Avena, Azúcar, Pasas, Coco, Granola Incluyen Bar)",,por 1 barra ,200,7.57,28.68,4.21
602,Pastel de Papas,,por 1 taza ,300,13.56,20.41,23.73
603,Papas Deshidratadas,,por 1 porción ,102,5.37,12.75,1.31
604,Frambuesas Congeladas sin Endulzante,,por 1 taza ,130,1.62,29.85,3.0
605,Cerezas Congeladas,,por 1 porción de 10 ,23,0.22,5.62,0.47
606,Fresas Congeladas con Azúcar,,por 1 taza ,222,0.36,59.82,1.33
607,Fresas Congeladas,,por 1 taza ,222,0.36,59.82,1.33
608,Helado Corazón,Bon o Bon,por 1 helado (50g) ,162,11.0,13.0,3.0
609,Yogur Helado Griego,Karinat,por 1 porción (60g) ,100,1.6,18.0,3.4
610,Yogures Helados de Chocolate,Yin Yang,por 1/2 taza ,115,4.32,17.93,2.88
611,Huevo Hilado,Cindor,por 100 g ,290,14.95,30.19,8.94
612,Mijo Pelado,Freddo,por 2 cucharadas de sopa (30g) ,108,1.0,21.0,3.7
613,Helado ,Exquisita,por 1 unidad (60g) ,180,12.0,16.0,3.0
614,Tableta Rellena Con Helado De Crema Americana,Too Good,por 1 unidad (50g) ,147,9.5,13.0,2.3
615,Helado de Chocolate,,por 1 taza (50g) ,59,2.5,7.3,1.9
616,Café Helado,,por 1 taza de café ,4,0.01,0.67,0.19
617,Helado Chocolate ,,por 1 porción (60g) ,57,1.0,10.0,2.0
